targetId,comparatorId,outcomeId,outcomeName,type
289,290,4175583,3-Methylglutaconic aciduria type 2,outcome
289,290,375824,Abnormal auditory perception,outcome
289,290,435574,Abnormal form of root of tooth,outcome
289,290,4262562,Abnormal heart beat,outcome
289,290,436409,Abnormal pupil,outcome
289,290,443702,Abnormal response to nerve stimulation,outcome
289,290,44783954,Acid reflux,outcome
289,290,435720,Adverse anesthesia outcome,outcome
289,290,4254371,Altered growth and development,outcome
289,290,434916,"Amphetamine or psychostimulant dependence, continuous",outcome
289,290,45757682,Anomaly of jaw size,outcome
289,290,4060259,Antenatal amniocentesis - abnormal,outcome
289,290,76744,Azoospermia,outcome
289,290,256449,Bronchiectasis,outcome
289,290,134765,Cachexia,outcome
289,290,4228429,Carnitine deficiency,outcome
289,290,42709838,Cellulitis of lower limb,outcome
289,290,4213540,Cervical somatic dysfunction,outcome
289,290,443570,Cervicovaginal cytology: Low grade squamous intraepithelial lesion,outcome
289,290,46269889,Complication due to Crohn's disease,outcome
289,290,434675,Complication of gastrostomy,outcome
289,290,438624,Complication of renal dialysis,outcome
289,290,80492,Contracture of knee joint,outcome
289,290,432729,Crying infant,outcome
289,290,443737,Dental restoration lost,outcome
289,290,438183,Denture occlusion incorrect,outcome
289,290,438759,Descemet's membrane fold,outcome
289,290,4115402,Difficulty sleeping,outcome
289,290,4019971,Discord in school,outcome
289,290,201091,Disproportion - major pelvic abnormality,outcome
289,290,372329,Dissociated deviation,outcome
289,290,4155818,Does climb,outcome
289,290,4196636,Dysarthria,outcome
289,290,439791,Emotional upset,outcome
289,290,4092896,Feces contents abnormal,outcome
289,290,4182437,Female genital cutting,outcome
289,290,4229403,Flat anterior chamber of eye,outcome
289,290,4069540,Flexion deformity of knee,outcome
289,290,374801,Foreign body in ear,outcome
289,290,4096540,Foreskin deficient,outcome
289,290,73564,Full thickness rotator cuff tear,outcome
289,290,40481568,Fussy infant,outcome
289,290,439788,Galactosemia,outcome
289,290,440329,Herpes zoster without complication,outcome
289,290,441829,Hyperosmolality and or hypernatremia,outcome
289,290,440129,Hypertrophy of nasal turbinates,outcome
289,290,443447,Iatrogenic hypotension,outcome
289,290,4344500,Impingement syndrome of shoulder region,outcome
289,290,4090353,Incompetent urethral closure mechanism,outcome
289,290,434485,Increase in body fat,outcome
289,290,434872,Infection by Trichomonas,outcome
289,290,440053,Infestation by insect,outcome
289,290,442120,Injection site extravasation,outcome
289,290,4168222,"Intra-abdominal and pelvic swelling, mass and lump",outcome
289,290,440710,Intraretinal microvascular abnormality,outcome
289,290,72404,Joint stiffness,outcome
289,290,4093346,Large prostate,outcome
289,290,133088,Late amputation stump complication,outcome
289,290,4228331,Leukokeratosis nicotina palati,outcome
289,290,377873,Lid lag,outcome
289,290,4083487,Macular drusen,outcome
289,290,4051630,Malingering,outcome
289,290,436426,Malleus mobility reduced,outcome
289,290,44783760,Mammographic calcification of breast,outcome
289,290,439082,Menopausal syndrome,outcome
289,290,436940,Metabolic syndrome X,outcome
289,290,45757258,Minimal keratinized residual ridge mucosa,outcome
289,290,40480000,Multiple complications due to diabetes mellitus,outcome
289,290,134315,Myelophthisis,outcome
289,290,4195085,Nasal congestion,outcome
289,290,434016,"Nondependent opioid abuse, continuous",outcome
289,290,4035269,Non-ketotic hyperglycinemia,outcome
289,290,40480893,Nonspecific tuberculin test reaction,outcome
289,290,198802,Occlusion of ureter,outcome
289,290,375292,Perforation of tympanic membrane,outcome
289,290,78162,Peripheral vertigo,outcome
289,290,437092,Physiological development failure,outcome
289,290,253796,Pneumothorax,outcome
289,290,4295261,Postmenopausal state,outcome
289,290,4202045,Postviral fatigue syndrome,outcome
289,290,4094448,Pregnancy test negative,outcome
289,290,439081,Premenstrual tension syndrome,outcome
289,290,439790,Psychalgia,outcome
289,290,435028,Puerperal pyrexia of unknown origin,outcome
289,290,4245252,Raised prostate specific antigen,outcome
289,290,436246,Reduced libido,outcome
289,290,45772079,Retinopathy of prematurity stage 0,outcome
289,290,436828,Saliva abnormal,outcome
289,290,4233565,Severe protein-calorie malnutrition (Gomez: less than 60% of standard weight),outcome
289,290,4250163,Sexual arousal disorder,outcome
