targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
289,290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795,
1182,291,70;68;67;71;170;69,904453;911735;923645;929887;948078;950696;953076;961047;997276;1322184;19011685;19039926;21600082;21600083;21600084;21600085;21600087;21600089;21600096;21600097;21600098;21600099;21600100;21600989;40254795;43009003,
1289,1290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;201820,
2289,2290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;201820,
3289,3290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;1112807,
4289,4290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;1112807,
5289,5290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795,
6289,6290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795,
7289,7290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;8507;8532,
8289,8290,70;68;67;71;170;69,904453;911735;923645;929887;948078;1322184;19039926;21600096;21600097;21600098;21600099;21600100;21600989;40254795;8507;8532,
